msec,Exper,µVpostEEMD1Ozsqua,µVpostEEMD2Ozsqua,µVpostEEMD3Ozsqua,µVpostEEMD1combinexpOzSquareMask,µVpostEEMD2combinexpOzSquareMask,µVpostEEMD3combinexpOzSquareMask,µVpostEEMD4combinexpOzSquareMask,µVpostEEMD1combinexpOzSquarePseudo,µVpostEEMD2combinexpOzSquarePseudo,µVpostEEMD3combinexpOzSquarePseudo,µVpostEEMD6combinexpOzSquarePseudo,µVpostEEMD1Ozdiamo,µVpostEEMD2Ozdiamo,µVpostEEMD7Ozdiamo,µVpostEEMD1combinexpOzDiamondMask,µVpostEEMD2combinexpOzDiamondMask,µVpostEEMD3combinexpOzDiamondMask,µVpostEEMD4combinexpOzDiamondMask,µVpostEEMD5combinexpOzDiamondMask,µVpostEEMD1combinexpOzDiamondPseudo,µVpostEEMD2combinexpOzDiamondPseudo,µVpostEEMD3combinexpOzDiamondPseudo,µVpostEEMD1OzMask,µVpostEEMD2OzMask,µVpostEEMD3OzMask,µVpostEEMD6OzMask,µVpostEEMD1OzPseudomask,µVpostEEMD2OzPseudomask,µVpostEEMD3OzPseudomask,µVpostEEMD4OzPseudomask,µVpostEEMD6OzPseudomask,µVpostEEMD7OzPseudomask
765,2,379.8493135,107.2071035,264.1310278,804.1136781,300.9637536,94.49079522,140.9569974,642.8557172,266.4390705,272.2990795,373.8381629,633.1012207,304.7764774,550.8140438,804.3051,117.7091,199.5385,172.7803,176.0092,171.34,84.58548,184.3285,734.070710227563,151.263463933902,318.43804544997,72.9268922120839,774.946854568242,600.26754826445,72.2517176106385,187.810831942976,164.531641892236,52.2950130175771
770,2,490.7098008,92.41116499,277.4584958,444.9822223,307.1992557,95.0754625,144.8320075,822.0792719,280.0909562,248.4024236,376.6224171,689.090919,253.6453792,547.8087966,719.6099,163.5042,251.4411,187.721,186.2157,300.8767,144.185,218.799,861.818490472314,192.62024943891,308.847077400432,70.6030919662335,647.184494092297,611.274238658016,67.4986275808974,188.17894652831,165.434898281544,53.4601172644082
775,2,240.4299719,105.3057498,288.593538,122.8301385,281.0892747,100.7139409,149.3383637,795.2991675,341.4281798,227.5183563,379.6078532,414.7316828,223.8584828,549.4216104,962.9933,184.933,298.591,201.294,197.2129,555.6872,197.9468,270.9713,495.605259528101,270.928919916448,299.059141020405,71.2274082226268,647.511603134285,540.718096895568,63.3973734339988,189.362373615799,166.538252935148,55.2779408637441
780,2,83.31662986,141.7697465,299.6386928,53.6996685,219.6271576,109.6230046,155.1942316,546.9351164,441.5875584,218.7893039,382.6166307,398.0709828,195.024572,546.6150454,1014.002,195.8836,334.4699,214.8666,209.2001,637.5317,261.7543,331.9759,677.534135208806,367.97544494468,290.091333725883,68.4676652491201,519.101968954233,451.636178316368,60.9866563510004,191.56143117548,167.337992815698,56.3840860040813
785,2,293.0923088,174.0466228,311.1292384,153.1570535,151.7660662,117.8590387,161.269749,457.2274561,554.4570793,218.2423719,385.8988205,330.4990543,173.0589273,548.4721257,752.9905,231.4116,359.2228,228.3603,221.3757,772.2354,308.861,398.3048,894.800587104878,484.600392142673,278.704279104885,69.2047825633872,441.018623934348,416.519874461334,62.656420068858,194.574829843534,168.350398794255,58.1573527256276
790,2,638.8837781,193.2417276,322.4601167,235.6826249,97.53281658,125.4123646,168.2784354,399.1452251,660.3067317,224.406814,389.0230997,239.0889475,202.2042385,545.9389755,712.1584,312.6623,376.3041,241.6401,234.1652,965.7894,332.5601,463.7502,863.918132127086,601.678342977363,265.063101097899,65.9660952257714,292.190784311054,463.725556532013,69.9095862900976,198.245486492632,169.045339167678,59.1986486318163
795,2,685.5754414,187.6556482,333.1838942,280.392273,71.74997861,133.7047234,175.087391,358.5869074,763.3848391,231.0027466,392.5076788,565.0118812,271.8896663,548.0552686,602.3432,429.0089,382.8143,254.7661,246.3638,919.4487,380.5648,515.1172,911.249352704826,651.199380872961,251.204949420542,66.8264930400602,402.079535020032,550.52239677527,82.7415987978466,202.212022928908,169.964226656222,60.9173979404892
800,2,532.1254354,229.1957372,343.2094221,443.9062957,49.03943059,143.2914576,181.6874,535.4350892,869.0565135,232.778263,395.689523,908.8062288,312.6907385,545.8734399,598.2809,536.785,380.2024,267.4304,259.4307,1015.596,459.644,552.3972,1134.95643089065,636.432010330063,242.85325029261,63.1243548664475,653.905622943822,599.078136570305,98.6383211614231,206.029321012292,170.55706980223,61.8891167141041
805,2,385.3971093,308.0476561,353.3486869,785.153948,45.2050236,155.4156388,187.1010538,440.9488493,949.2244465,235.3751326,399.3771067,771.0953852,341.0805568,548.2597516,958.909,600.0786,377.2467,279.9034,271.8801,1226.06,528.0776,576.9921,1272.79685632622,647.83812753217,235.899756612113,64.168059190112,520.953922216369,603.721630572045,116.28688520158,209.686805995471,171.381863355697,63.5442371137547
810,2,140.8220255,376.0340593,364.0098108,848.9973885,73.11101646,169.3578364,192.3812335,343.4441811,968.7387122,240.6130104,402.6319686,802.8339229,363.2719553,546.5097135,845.7104,628.6957,379.7984,291.7972,285.4328,1003.583,581.8287,591.5343,784.177013405075,689.524806066478,224.612881240786,60.0799028194172,81.5390303079831,586.211935219447,135.573222617639,213.067604705062,171.877624956519,64.4425387497998
815,2,377.8290672,435.9637726,377.5549341,581.6867551,108.0496906,184.2142578,198.234018,543.6813476,932.2893051,249.3430107,406.5469846,967.9258259,406.6904931,549.1722332,384.5072,639.9834,392.7471,303.5287,298.2939,1125.472,641.3727,594.7377,635.401923562291,659.561481056389,213.768971479327,61.3792737562763,781.592330058303,547.778194146832,155.024653322539,216.275078795782,172.60739946294,66.0254659440111
820,2,891.2888925,454.3667834,394.7018759,389.4076873,126.5066468,200.5351822,204.4127884,558.5808095,904.8184111,263.5217389,409.881709,748.6611557,518.5173363,547.9362827,904.4384,649.6844,411.4793,314.7576,312.3195,1639.017,713.3061,585.571,591.661559785026,586.42931799674,204.486196408522,57.0283502631922,1112.66529763771,508.494054172711,174.709827740095,219.023664083988,173.00995697881,66.8472025991614
